sam	newname
4020-BL050309-357wF-806bR	4020_BL050309_02_357wF-806bR
4020-BL080602-357wF-806bR	4020_BL080602_02_357wF-806bR
4020-BL100706-357wF-806bR	4020_BL100706_02_357wF-806bR
4021-DEV107-357wF-806bR	4021_BL060613_3_357wF-806bR
4021-DEV109-357wF-806bR	4021_BL060404_3_357wF-806bR
4021-DEV110-357wF-806bR	4021_BL060307_3_357wF-806bR
4021-DEV119-357wF-806bR	4021_BL050607_3_357wF-806bR
4021-DEV129-357wF-806bR	4021_BL040831_3_357wF-806bR
4021-DEV131-357wF-806bR	4021_BL040628_3_357wF-806bR
4021-DEV132-357wF-806bR	4021_BL040525_3_357wF-806bR
4022-DEV054-357wF-806bR	4022_BL111129_3_357wF-806bR
4022-DEV056-357wF-806bR	4022_BL110913_3_357wF-806bR
4022-DEV058-357wF-806bR	4022_BL110705_3_357wF-806bR
4022-DEV105-357wF-806bR	4022_BL060801_3_357wF-806bR
4022-DEV106-357wF-806bR	4022_BL060705_3_357wF-806bR
4022-DEV107-357wF-806bR	4022_BL060613_3_357wF-806bR
4022-DEV108-357wF-806bR	4022_BL060516_3_357wF-806bR
4408-DEV047-357wF-806bR	4408_BL120620_3_357wF-806bR
5001-BL050309-357wF-806bR	5001_BL050309_02_357wF-806bR
5001-BL080602-357wF-806bR	5001_BL080602_02_357wF-806bR
5001-BL081211-357wF-806bR	5001_BL081211_02_357wF-806bR
5001-BL100525A-357wF-806bR	5001_BL100525_3_357wF-806bR
5001-BL100622A-357wF-806bR	5001_BL100622_3_357wF-806bR
5001-BL100706-357wF-806bR	5001_BL100706_02_357wF-806bR
5001-BL100706A-357wF-806bR	5001_BL100706_3_357wF-806bR
5001-BL100803A-357wF-806bR	5001_BL100803_3_357wF-806bR
5001-BL100914A-357wF-806bR	5001_BL100914_3_357wF-806bR
5001-BL110615-357wF-806bR	5001_BL110615_02_357wF-806bR
5001-DEV059-357wF-806bR	5001_BL110615_3_357wF-806bR
5001-DEV131-357wF-806bR	5001_BL040628_3_357wF-806bR
5001-DEV56-357wF-806bR	5001_BL110913_3_357wF-806bR
5001-DEV58-357wF-806bR	5001_BL110705_3_357wF-806bR
